,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
18776,FL-400S-XL-44-[GL11],95000,standard,5,8567.03,400gglosslaminatedbothsides,bothsides,xlong
12417,FL-250G-VK-44,95000,standard,2,1065.26,250ggloss,bothsides,carresmall
18775,FL-400S-XL-44-[GL11],95000,saver,5,7532.03,400gglosslaminatedbothsides,bothsides,xlong
15642,FL-170S-A6-40,95000,standard,2,847.19,170gsilk,oneside,a6
19282,FL-170H-A7-44,95000,standard,3,702.62,170goffset,bothsides,a7
63,FL-400S-A4-44-[GL11],95000,standard,3,13836.37,400gglosslaminatedbothsides,bothsides,a4
16076,FL-170H-XL-44,95000,saver,6,2290.79,170goffset,bothsides,xlong
62,FL-400S-A4-44-[GL11],95000,saver,5,11396.29,400gglosslaminatedbothsides,bothsides,a4
1640,FL-400S-A7-44-[GL11],95000,standard,3,3763.86,400gglosslaminatedbothsides,bothsides,a7
12416,FL-250G-VK-44,95000,saver,6,943.57,250ggloss,bothsides,carresmall
7902,FL-135G-A5-40,95000,saver,6,902.83,135ggloss,oneside,a5
7903,FL-135G-A5-40,95000,standard,2,1062.15,135ggloss,oneside,a5
1639,FL-400S-A7-44-[GL11],95000,saver,5,1722.17,400gglosslaminatedbothsides,bothsides,a7
2180,FL-170S-A5-40,95000,standard,2,1524.85,170gsilk,oneside,a5
3448,FL-400S-A4-40,95000,saver,1,8609.67,400gsilk,oneside,a4
15641,FL-170S-A6-40,95000,saver,6,804.82,170gsilk,oneside,a6
12790,FL-135G-A5-44,95000,saver,6,938.88,135ggloss,bothsides,a5
4870,FL-400S-A4-40-[ML11],95000,saver,5,11074.41,400gmattlaminatedbothsides,oneside,a4
12791,FL-135G-A5-44,95000,standard,2,1104.56,135ggloss,bothsides,a5
19281,FL-170H-A7-44,95000,saver,6,667.49,170goffset,bothsides,a7
10044,FL-170H-US-40,95000,saver,6,1651.5,170goffset,oneside,us
16262,FL-170H-A7-40,95000,saver,6,637.31,170goffset,oneside,a7
11202,FL-170H-VG-44,95000,standard,3,3585.23,170goffset,bothsides,carrelarge
4224,FL-250S-A6-40,95000,standard,2,829.76,250gsilk,oneside,a6
4223,FL-250S-A6-40,95000,saver,6,802.35,250gsilk,oneside,a6
19004,FL-400S-A6-44,95000,standard,4,2011.53,400gsilk,bothsides,a6
14042,FL-140H-A4-44,95000,saver,6,4946.83,140goffset,bothsides,a4
17200,FL-250G-A4-40,95000,saver,6,3207.34,250ggloss,oneside,a4
17201,FL-250G-A4-40,95000,standard,2,3671.26,250ggloss,oneside,a4
5014,FL-170H-AL-44,95000,saver,6,1243.83,170goffset,bothsides,along
5015,FL-170H-AL-44,95000,standard,3,1306.39,170goffset,bothsides,along
1042,FL-400S-US-44-[GL11],95000,saver,5,4040.1,400gglosslaminatedbothsides,bothsides,us
1043,FL-400S-US-44-[GL11],95000,standard,5,4297.56,400gglosslaminatedbothsides,bothsides,us
6870,FL-250S-XL-40,95000,standard,2,2548.39,250gsilk,oneside,xlong
6869,FL-250S-XL-40,95000,saver,6,2427.87,250gsilk,oneside,xlong
19003,FL-400S-A6-44,95000,saver,1,1676.56,400gsilk,bothsides,a6
11705,FL-170G-XL-44,95000,saver,6,1864.83,170ggloss,bothsides,xlong
17947,FL-140H-A6-40,95000,saver,6,1433.35,140goffset,oneside,a6
7443,FL-140H-VM-44,95000,saver,6,2198.79,140goffset,bothsides,carremedium
7444,FL-140H-VM-44,95000,standard,2,2309.19,140goffset,bothsides,carremedium
10860,FL-170G-A6-40,95000,saver,6,654.64,170ggloss,oneside,a6
3026,FL-170S-AL-40,95000,standard,2,740.98,170gsilk,oneside,along
3025,FL-170S-AL-40,95000,saver,6,705.66,170gsilk,oneside,along
19731,FL-170S-VK-40,95000,saver,6,871.13,170gsilk,oneside,carresmall
14043,FL-140H-A4-44,95000,standard,2,5194.31,140goffset,bothsides,a4
19732,FL-170S-VK-40,95000,standard,2,916.98,170gsilk,oneside,carresmall
11706,FL-170G-XL-44,95000,standard,3,1958.67,170ggloss,bothsides,xlong
10947,FL-170H-VM-44,95000,saver,6,1713.03,170goffset,bothsides,carremedium
4118,FL-170G-A4-44,95000,standard,2,3417.15,170ggloss,bothsides,a4
21979,FL-250S-A4-44,95000,saver,6,3207.34,250gsilk,bothsides,a4
21980,FL-250S-A4-44,95000,standard,2,3371.1,250gsilk,bothsides,a4
10045,FL-170H-US-40,95000,standard,3,1738.41,170goffset,oneside,us
6963,FL-400S-VM-40-[ML11],95000,standard,5,6145.89,400gmattlaminatedbothsides,oneside,carremedium
6962,FL-400S-VM-40-[ML11],95000,saver,5,5355.35,400gmattlaminatedbothsides,oneside,carremedium
21431,FL-250G-XL-44,95000,standard,2,2548.39,250ggloss,bothsides,xlong
11201,FL-170H-VG-44,95000,saver,6,3415.03,170goffset,bothsides,carrelarge
21430,FL-250G-XL-44,95000,saver,6,2427.87,250ggloss,bothsides,xlong
7335,FL-250S-US-40,95000,standard,2,1592.05,250gsilk,oneside,us
14406,FL-400S-A7-40,95000,standard,4,1465.87,400gsilk,oneside,a7
14628,FL-170G-AL-40,95000,saver,6,1012.91,170ggloss,oneside,along
14405,FL-400S-A7-40,95000,saver,5,1396.06,400gsilk,oneside,a7
14629,FL-170G-AL-40,95000,standard,3,1063.51,170ggloss,oneside,along
398,FL-135G-A4-44,95000,standard,2,2200.89,135ggloss,bothsides,a4
397,FL-135G-A4-44,95000,saver,6,1870.75,135ggloss,bothsides,a4
12845,FL-400S-VM-44-[ML11],95000,standard,5,6145.98,400gmattlaminatedbothsides,bothsides,carremedium
17948,FL-140H-A6-40,95000,standard,2,1505.11,140goffset,oneside,a6
22917,FL-170S-US-44,95000,standard,2,1212.74,170gsilk,bothsides,us
22916,FL-170S-US-44,95000,saver,6,1121.47,170gsilk,bothsides,us
3449,FL-400S-A4-40,95000,standard,4,9386.01,400gsilk,oneside,a4
12844,FL-400S-VM-44-[ML11],95000,saver,5,5355.17,400gmattlaminatedbothsides,bothsides,carremedium
19940,FL-170H-A4-44,95000,saver,6,3585.41,170goffset,bothsides,a4
4778,FL-250G-A4-44,95000,standard,2,3687.79,250ggloss,bothsides,a4
19941,FL-170H-A4-44,95000,standard,3,3774.12,170goffset,bothsides,a4
712,FL-170H-VM-40,95000,saver,6,1713.03,170goffset,oneside,carremedium
23360,FL-140H-XL-44,95000,standard,2,2783.91,140goffset,bothsides,xlong
14541,FL-250G-VM-44,95000,saver,6,1826.91,250ggloss,bothsides,carremedium
12660,FL-135G-A6-44,95000,saver,6,548.75,135ggloss,bothsides,a6
12661,FL-135G-A6-44,95000,standard,2,704.81,135ggloss,bothsides,a6
14542,FL-250G-VM-44,95000,standard,2,2149.31,250ggloss,bothsides,carremedium
14266,FL-140H-A6-44,95000,saver,6,1433.35,140goffset,bothsides,a6
23359,FL-140H-XL-44,95000,saver,6,2651.43,140goffset,bothsides,xlong
16983,FL-400S-A6-40,95000,standard,2,1368.0,400gsilk,oneside,a6
14267,FL-140H-A6-44,95000,standard,2,1505.11,140goffset,bothsides,a6
713,FL-170H-VM-40,95000,standard,3,1799.51,170goffset,oneside,carremedium
14499,FL-400S-XL-40-[GL11],95000,standard,5,8567.03,400gglosslaminatedbothsides,oneside,xlong
4638,FL-135G-US-44,95000,standard,3,772.19,135ggloss,bothsides,us
14498,FL-400S-XL-40-[GL11],95000,saver,5,7532.03,400gglosslaminatedbothsides,oneside,xlong
2665,FL-135G-XL-44,95000,saver,6,1441.63,135ggloss,bothsides,xlong
17855,FL-250S-A7-44,95000,standard,2,598.67,250gsilk,bothsides,a7
20103,FL-170G-A4-40,95000,saver,6,2755.46,170ggloss,oneside,a4
20104,FL-170G-A4-40,95000,standard,2,3293.28,170ggloss,oneside,a4
17854,FL-250S-A7-44,95000,saver,6,570.16,250gsilk,bothsides,a7
15995,FL-250G-VM-40,95000,saver,6,1518.69,250ggloss,oneside,carremedium
14156,FL-400S-A6-40-[ML11],95000,standard,5,3446.44,400gmattlaminatedbothsides,oneside,a6
15996,FL-250G-VM-40,95000,standard,2,1543.31,250ggloss,oneside,carremedium
4637,FL-135G-US-44,95000,saver,6,714.11,135ggloss,bothsides,us
16665,FL-250G-XL-40,95000,standard,2,2548.39,250ggloss,oneside,xlong
23198,FL-400S-XL-44,95000,standard,4,5997.47,400gsilk,bothsides,xlong
23197,FL-400S-XL-44,95000,saver,5,5711.35,400gsilk,bothsides,xlong
10539,FL-400S-A6-44-[ML11],95000,standard,4,4152.9,400gmattlaminatedbothsides,bothsides,a6
10538,FL-400S-A6-44-[ML11],95000,saver,5,3441.83,400gmattlaminatedbothsides,bothsides,a6
1411,FL-135G-A6-40,95000,saver,6,531.61,135ggloss,oneside,a6
