,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
1985,1000,0.0,A6,130gsm Art Paper Silk Finish,None,Double Sided,,21.94,1,FLY-468-610-464-468-EXPRESS
1986,1000,0.0,A5,300gsm Art Board Coated,None,Single Sided,,65.53,1,FLY-466-701-515-519-EXPRESS
1987,1000,0.0,Square 105mm x 105mm,450gsm Art Board Silk Finish,None,Single Sided,,55.59,1,FLY-554-524-511-559-EXPRESS
1988,1000,0.0,Square 210mm x 210mm,450gsm Art Board Silk Finish,None,Double Sided,,209.0,1,FLY-503-564-517-557-EXPRESS
1989,1000,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Single Sided,,34.75,2,FLY-611-506-603-654-EXPRESS
1990,1000,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,36.73,1,FLY-614-656-453-557-EXPRESS
1991,1000,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,17.77,1,FLY-661-510-586-608-EXPRESS
1992,1000,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,88.82,1,FLY-506-603-615-609-EXPRESS
1993,1000,0.2,A3,300gsm Art Board Coated,None,Double Sided,,198.55,1,FLY-612-568-659-556-EXPRESS
1994,1000,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,23.83,1,FLY-657-602-552-650-EXPRESS
1998,1000,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,38.66,1,FLY-513-607-622-594-EXPRESS
1999,1000,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,30.3,2,FLY-658-517-526-603-EXPRESS
2000,1000,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,119.13,1,FLY-464-561-425-544-EXPRESS
2001,1000,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,56.58,1,FLY-699-606-565-557-EXPRESS
2002,1000,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,91.96,2,FLY-653-525-608-523-EXPRESS
2003,1000,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,52.25,1,FLY-521-560-563-701-EXPRESS
2004,1000,0.2,A3,300gsm Art Board Coated,None,Single Sided,,188.63,1,FLY-699-516-565-577-EXPRESS
2005,1000,0.2,A7,450gsm Art Board Silk Finish,None,Double Sided,,35.53,1,FLY-522-557-558-563-EXPRESS
2006,1000,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,73.15,1,FLY-562-514-461-463-EXPRESS
2007,1000,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,21.94,1,FLY-500-562-558-563-EXPRESS
2008,1000,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,26.12,1,FLY-570-470-600-606-EXPRESS
2009,1000,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,56.58,1,FLY-559-699-613-611-EXPRESS
2010,1000,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,49.63,1,FLY-572-515-518-622-EXPRESS
2013,1000,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,38.66,1,FLY-405-508-523-603-EXPRESS
2014,1000,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,19.86,1,FLY-619-694-464-473-EXPRESS
2015,1000,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,,24.82,2,FLY-520-699-614-508-EXPRESS
2016,1000,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,69.5,1,FLY-565-606-600-651-EXPRESS
2020,1000,0.0,A4,130gsm Art Paper Gloss Finish,None,Double Sided,,59.56,1,FLY-527-519-549-523-EXPRESS
2021,1000,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,83.6,1,FLY-608-511-549-465-EXPRESS
2022,1000,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,56.58,1,FLY-601-697-615-463-EXPRESS
2023,1000,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,34.75,2,FLY-559-465-507-463-EXPRESS
2024,1000,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,52.25,1,FLY-505-666-521-419-EXPRESS
2025,1000,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,79.42,1,FLY-567-509-615-698-EXPRESS
