,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceSaver,Production Days Saver,Saver Sku
50,25,0.0,A6,300gsm Art Board Coated,None,Double Sided,,15.34,5,FLY-616-510-520-657-SAVER
51,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,23.46,5,FLY-652-540-557-656-SAVER
52,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-555-609-514-509-SAVER
53,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-610-608-616-563-SAVER
54,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-405-508-523-603-SAVER
55,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,15.34,5,FLY-608-511-549-465-SAVER
56,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,13.54,5,FLY-500-562-558-563-SAVER
57,25,0.2,A3,300gsm Art Board Coated,None,Single Sided,,19.72,5,FLY-699-516-565-577-SAVER
58,25,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,14.57,5,FLY-567-509-615-698-SAVER
59,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,15.34,5,FLY-506-603-615-609-SAVER
60,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-521-560-563-701-SAVER
61,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,21.66,5,FLY-562-514-461-463-SAVER
62,25,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-572-515-518-622-SAVER
63,25,0.0,A6,350gsm Recycled Uncoated,None,Single Sided,,17.15,5,FLY-508-566-562-601-SAVER
64,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,18.05,5,FLY-419-553-522-705-SAVER
65,25,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,20.22,6,FLY-653-525-608-523-SAVER
66,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.16,6,FLY-512-552-606-524-SAVER
67,25,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,20.76,6,FLY-535-606-521-515-SAVER
68,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-609-508-560-505-SAVER
69,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,,16.24,5,FLY-659-662-515-599-SAVER
70,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-479-705-617-562-SAVER
71,25,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,20.76,5,FLY-600-652-559-418-SAVER
72,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-606-700-564-563-SAVER
73,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Double Sided,,14.9,5,FLY-527-519-549-523-SAVER
74,25,0.0,A4,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-515-606-707-604-SAVER
75,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,,15.34,5,FLY-558-606-515-560-SAVER
76,25,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,18.0,6,FLY-559-465-507-463-SAVER
77,25,0.0,A5,300gsm Art Board Coated,None,Single Sided,,14.57,5,FLY-466-701-515-519-SAVER
78,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,13.09,5,FLY-661-510-586-608-SAVER
79,25,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-476-519-554-612-SAVER
80,25,0.0,A6,170gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-510-649-513-464-SAVER
81,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,14.57,5,FLY-645-577-696-648-SAVER
82,25,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,18.05,5,FLY-459-460-602-517-SAVER
83,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-515-610-523-493-SAVER
84,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,,18.95,6,FLY-567-666-644-514-SAVER
85,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,16.24,5,FLY-565-515-598-512-SAVER
86,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.78,6,FLY-506-518-610-467-SAVER
87,25,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,,12.86,5,FLY-649-529-558-466-SAVER
88,25,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,16.61,6,FLY-561-511-476-552-SAVER
89,25,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,22.29,5,FLY-569-562-466-614-SAVER
90,25,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,24.01,6,FLY-689-461-464-565-SAVER
91,25,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,12.86,5,FLY-553-613-506-657-SAVER
92,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,16.29,6,FLY-554-615-567-604-SAVER
93,25,0.2,A3,300gsm Art Board Coated,None,Double Sided,,20.76,5,FLY-612-568-659-556-SAVER
94,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,20.58,5,FLY-608-603-467-564-SAVER
95,25,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-564-574-602-511-SAVER
96,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,15.34,5,FLY-507-621-528-659-SAVER
97,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,19.85,5,FLY-620-571-561-469-SAVER
98,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,18.05,5,FLY-610-557-699-506-SAVER
99,25,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,14.44,5,FLY-562-706-529-476-SAVER
100,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,16.29,6,FLY-663-694-473-564-SAVER
101,25,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,35.15,5,FLY-513-549-508-562-SAVER
102,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,15.43,5,FLY-702-614-473-603-SAVER
103,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,15.34,5,FLY-519-505-603-518-SAVER
104,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,14.57,5,FLY-610-562-605-516-SAVER
105,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,15.34,5,FLY-604-645-568-602-SAVER
106,25,0.2,A6,120gsm Premium Smooth White Paper,None,Double Sided,,17.15,6,FLY-556-604-569-542-SAVER
107,25,0.0,A4,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-550-608-599-516-SAVER
108,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-513-607-622-594-SAVER
109,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,12.86,5,FLY-619-694-464-473-SAVER
110,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,12.86,5,FLY-561-661-558-561-SAVER
111,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,14.4,6,FLY-520-556-554-566-SAVER
112,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,13.03,6,FLY-569-513-607-564-SAVER
113,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-559-497-514-462-SAVER
114,25,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,13.03,6,FLY-512-546-656-611-SAVER
115,25,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,12.44,5,FLY-659-703-572-557-SAVER
116,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-528-569-603-472-SAVER
117,25,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,13.0,6,FLY-519-612-554-521-SAVER
118,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,16.61,6,FLY-464-616-515-520-SAVER
119,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,22.29,5,FLY-468-460-461-614-SAVER
120,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-453-522-524-458-SAVER
121,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,15.34,5,FLY-615-560-513-413-SAVER
122,25,0.0,A5,300gsm Art Board Coated,None,Double Sided,,15.34,5,FLY-565-564-512-569-SAVER
123,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,12.86,5,FLY-563-655-515-563-SAVER
124,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,,16.29,5,FLY-463-599-525-650-SAVER
125,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,14.57,5,FLY-506-554-607-507-SAVER
126,25,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-515-565-509-421-SAVER
127,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,19.72,6,FLY-601-607-609-608-SAVER
128,25,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,15.43,5,FLY-458-559-606-423-SAVER
129,25,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,12.86,5,FLY-473-615-513-661-SAVER
130,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-513-562-602-563-SAVER
131,25,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,13.72,5,FLY-605-600-601-606-SAVER
132,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-693-514-565-564-SAVER
133,25,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,21.66,5,FLY-558-611-509-468-SAVER
134,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,12.44,5,FLY-662-658-660-553-SAVER
135,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-505-666-521-419-SAVER
136,25,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,17.15,5,FLY-464-561-425-544-SAVER
137,25,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,18.05,5,FLY-563-657-517-649-SAVER
138,25,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,14.4,6,FLY-498-661-556-469-SAVER
139,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,14.57,5,FLY-470-519-612-518-SAVER
140,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,13.54,5,FLY-551-516-514-652-SAVER
141,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,14.57,5,FLY-698-715-508-600-SAVER
