,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceSaver,Production Days Saver,Saver Sku
4996,25,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,20.58,5,FLY-565-606-600-651-SAVER
4962,25,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,15.34,5,FLY-529-515-554-610-SAVER
4928,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-508-612-611-702-SAVER
4894,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-481-569-514-568-SAVER
4801,25,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-475-700-701-515-SAVER
4767,25,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,15.78,6,FLY-520-565-521-515-SAVER
5041,25,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-699-606-565-557-SAVER
370,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-647-603-648-602-SAVER
3541,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-515-526-479-512-SAVER
309,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.9,5,FLY-518-560-458-516-SAVER
241,25,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,13.54,5,FLY-463-599-607-559-SAVER
34,25,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-548-601-610-618-SAVER
144,25,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-611-505-479-573-SAVER
275,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,14.57,5,FLY-510-623-603-607-SAVER
110,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-520-756-701-608-SAVER
178,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-548-462-573-566-SAVER
68,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,20.76,6,FLY-516-600-653-599-SAVER
5007,50,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,14.57,5,FLY-657-602-552-650-SAVER
1548,50,0.0,A4,300gsm Art Board Coated,None,Double Sided,,17.15,5,FLY-515-606-707-604-SAVER
2229,50,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,13.31,5,FLY-609-553-609-462-SAVER
5237,50,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,6,FLY-498-661-556-469-SAVER
5702,50,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,25.73,5,FLY-569-562-466-614-SAVER
2432,50,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,29.78,6,FLY-462-603-607-656-SAVER
3474,50,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,22.56,7,FLY-508-607-462-512-SAVER
276,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-510-623-603-607-SAVER
6962,50,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,44.92,5,FLY-513-549-508-562-SAVER
2926,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-427-575-563-517-SAVER
3497,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-512-620-573-470-SAVER
6409,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,6,FLY-520-556-554-566-SAVER
5506,50,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,31.59,7,FLY-472-703-500-618-SAVER
642,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,18.05,7,FLY-514-518-652-564-SAVER
1191,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-608-511-549-465-SAVER
1506,50,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,22.56,6,FLY-535-606-521-515-SAVER
5203,50,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,16.29,5,FLY-470-519-612-518-SAVER
2496,50,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,14.15,5,FLY-474-708-604-652-SAVER
3915,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,18.05,7,FLY-616-665-564-598-SAVER
4238,50,0.0,A5,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-565-564-512-569-SAVER
6816,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,16.29,5,FLY-610-562-605-516-SAVER
3080,50,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,16.7,6,FLY-511-520-552-520-SAVER
626,50,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,27.08,5,FLY-652-540-557-656-SAVER
4321,50,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,14.57,5,FLY-453-522-524-458-SAVER
1656,50,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,20.76,5,FLY-419-553-522-705-SAVER
4696,50,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,23.46,5,FLY-558-611-509-468-SAVER
804,50,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,24.01,5,FLY-514-561-525-612-SAVER
6320,50,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,13.72,6,FLY-569-513-607-564-SAVER
6991,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,17.15,7,FLY-746-575-564-657-SAVER
1157,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-405-508-523-603-SAVER
2965,50,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,6,FLY-704-461-567-565-SAVER
2529,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,17.15,7,FLY-644-466-557-549-SAVER
879,50,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,18.86,5,FLY-601-547-654-469-SAVER
3429,50,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,12.69,6,FLY-665-709-560-606-SAVER
4019,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,21.43,6,FLY-601-607-609-608-SAVER
6053,50,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.01,5,FLY-645-577-696-648-SAVER
5432,50,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,16.29,7,FLY-515-555-525-572-SAVER
6969,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,17.15,7,FLY-568-506-602-564-SAVER
5856,50,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-565-515-598-512-SAVER
4287,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-615-560-513-413-SAVER
1595,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,6,FLY-512-552-606-524-SAVER
2195,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-561-556-555-699-SAVER
4706,50,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,12.64,5,FLY-662-658-660-553-SAVER
35,50,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-548-601-610-618-SAVER
6375,50,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,17.15,5,FLY-507-621-528-659-SAVER
69,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,22.56,6,FLY-516-600-653-599-SAVER
3778,50,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.15,5,FLY-614-656-453-557-SAVER
5563,50,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,22.29,5,FLY-608-603-467-564-SAVER
665,50,0.0,A6,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-616-510-520-657-SAVER
3393,50,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,27.08,5,FLY-651-559-558-560-SAVER
736,50,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,6,FLY-605-653-555-522-SAVER
2892,50,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,21.43,6,FLY-606-563-558-465-SAVER
5983,50,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,20.76,5,FLY-459-460-602-517-SAVER
5110,50,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-698-715-508-600-SAVER
3610,50,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,13.98,5,FLY-510-660-562-561-SAVER
5529,50,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,19.85,5,FLY-559-497-514-462-SAVER
