,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Price,Turnaround,SKU
1184,400,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,45.98,1,FLY-562-514-461-463-EXPRESS
1185,400,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,33.75,1,FLY-572-515-518-622-EXPRESS
1186,400,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,35.53,1,FLY-563-657-517-649-EXPRESS
1187,400,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,63.54,2,FLY-554-663-652-568-EXPRESS
1188,400,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,39.71,1,FLY-601-697-615-463-EXPRESS
1189,400,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,125.4,1,FLY-600-652-559-418-EXPRESS
1190,400,0.0,A4,300gsm Art Board Coated,None,Single Sided,79.42,1,FLY-550-608-599-516-EXPRESS
1191,400,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,33.75,1,FLY-515-526-479-512-EXPRESS
1192,400,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,44.94,2,FLY-516-600-653-599-EXPRESS
1193,400,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,62.7,1,FLY-529-515-554-610-EXPRESS
1194,400,0.2,A3,300gsm Art Board Coated,None,Double Sided,114.95,1,FLY-612-568-659-556-EXPRESS
1195,400,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,27.8,1,FLY-698-715-508-600-EXPRESS
1196,400,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,19.86,2,FLY-569-513-607-564-EXPRESS
1197,400,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Double Sided,62.7,1,FLY-572-609-553-554-EXPRESS
1198,400,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,16.14,1,FLY-659-703-572-557-EXPRESS
1199,400,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,50.16,1,FLY-608-511-549-465-EXPRESS
1200,400,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,21.94,1,FLY-479-705-617-562-EXPRESS
1201,400,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,78.38,1,FLY-651-559-558-560-EXPRESS
1202,400,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,57.48,1,FLY-697-609-600-557-EXPRESS
1203,400,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,43.68,1,FLY-565-606-600-651-EXPRESS
1204,400,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,16.98,1,FLY-661-510-586-608-EXPRESS
1205,400,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,28.79,1,FLY-614-656-453-557-EXPRESS
1206,400,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,30.3,1,FLY-405-508-523-603-EXPRESS
1207,400,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,41.8,1,FLY-611-505-479-573-EXPRESS
1208,400,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,23.09,2,FLY-520-699-614-508-EXPRESS
1209,400,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,83.6,1,FLY-419-553-522-705-EXPRESS
1210,400,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,18.37,1,FLY-561-661-558-561-EXPRESS
1211,400,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,35.53,1,FLY-564-574-602-511-EXPRESS
1212,400,0.0,A6,300gsm Art Board Coated,None,Single Sided,27.8,1,FLY-525-602-433-476-EXPRESS
1213,400,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,24.3,2,FLY-611-551-613-514-EXPRESS
1214,400,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,33.75,1,FLY-528-569-603-472-EXPRESS
1215,400,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,26.12,1,FLY-509-515-644-514-EXPRESS
1216,400,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,19.86,1,FLY-453-522-524-458-EXPRESS
1217,400,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,83.6,2,FLY-462-603-607-656-EXPRESS
1218,400,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,83.6,1,FLY-555-609-514-509-EXPRESS
1219,400,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Single Sided,21.84,1,FLY-651-559-556-596-EXPRESS
1220,400,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,20.36,2,FLY-546-601-601-555-EXPRESS
1221,400,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,47.02,1,FLY-615-560-513-413-EXPRESS
1222,400,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,24.82,2,FLY-554-615-567-604-EXPRESS
1223,400,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,45.98,1,FLY-558-611-509-468-EXPRESS
1224,400,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,28.79,1,FLY-515-610-523-493-EXPRESS
1225,400,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,171.41,1,FLY-513-549-508-562-EXPRESS
1226,400,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,78.38,1,FLY-652-540-557-656-EXPRESS
1227,400,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Double Sided,20.9,1,FLY-519-612-566-654-EXPRESS
1228,400,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,16.14,1,FLY-662-658-660-553-EXPRESS
1229,400,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,18.37,1,FLY-563-655-515-563-EXPRESS
1230,400,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,43.68,1,FLY-608-603-467-564-EXPRESS
1231,400,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,54.6,1,FLY-702-614-473-603-EXPRESS
1232,400,0.0,A6,300gsm Art Board Coated,None,Double Sided,29.26,1,FLY-616-510-520-657-EXPRESS
1233,400,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,89.34,1,FLY-463-599-525-650-EXPRESS
1234,400,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,36.73,1,FLY-645-614-556-656-EXPRESS
1235,400,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,83.6,1,FLY-459-460-602-517-EXPRESS
1236,400,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,27.17,1,FLY-520-614-516-651-EXPRESS
1237,400,0.0,A5,300gsm Art Board Coated,None,Double Sided,47.02,1,FLY-565-564-512-569-EXPRESS
1238,400,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,31.35,2,FLY-567-666-644-514-EXPRESS
1239,400,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,17.62,1,FLY-553-613-506-657-EXPRESS
1240,400,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,41.8,1,FLY-518-560-458-516-EXPRESS
1241,400,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,35.95,2,FLY-561-511-476-552-EXPRESS
1242,400,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,18.37,1,FLY-649-529-558-466-EXPRESS
1243,400,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,38.66,1,FLY-620-571-561-469-EXPRESS
1244,400,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,24.82,1,FLY-605-600-601-606-EXPRESS
1245,400,0.0,A3,350gsm Recycled Uncoated,None,Single Sided,162.69,1,FLY-560-656-562-519-EXPRESS
1246,400,0.2,A7,300gsm Art Board Coated,None,Single Sided,19.86,1,FLY-655-517-515-527-EXPRESS
