,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
15,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-462-558-560-613-STANDARD
16,25,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,,16.24,4,FLY-546-601-601-555-STANDARD
17,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-596-707-472-648-STANDARD
18,25,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,17.1,3,FLY-520-614-516-651-STANDARD
19,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-427-575-563-517-STANDARD
20,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-559-699-613-611-STANDARD
21,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-510-660-562-561-STANDARD
22,25,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,17.1,3,FLY-697-609-600-557-STANDARD
23,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,18.05,3,FLY-649-568-645-610-STANDARD
24,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-512-620-573-470-STANDARD
25,25,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,13.0,4,FLY-665-709-560-606-STANDARD
26,25,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-651-559-558-560-STANDARD
27,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-460-464-476-563-STANDARD
28,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Single Sided,,18.95,4,FLY-611-506-603-654-STANDARD
29,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,18.05,4,FLY-658-517-526-603-STANDARD
30,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-601-697-615-463-STANDARD
31,25,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,,20.22,4,FLY-554-663-652-568-STANDARD
32,25,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,17.1,4,FLY-511-520-552-520-STANDARD
33,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Single Sided,,16.24,3,FLY-430-572-561-610-STANDARD
34,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-704-461-567-565-STANDARD
35,25,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,20.76,4,FLY-606-563-558-465-STANDARD
36,25,0.0,A6,130gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-468-610-464-468-STANDARD
37,25,0.0,A6,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-525-602-433-476-STANDARD
38,25,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-520-699-614-508-STANDARD
39,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-572-609-553-554-STANDARD
40,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-646-566-513-514-STANDARD
41,25,0.0,A4,170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-559-569-613-566-STANDARD
42,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Single Sided,,18.05,3,FLY-466-600-516-467-STANDARD
43,25,0.0,A5,350gsm Art Board Silk Finish,None,Double Sided,,16.15,3,FLY-658-565-525-469-STANDARD
44,25,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-601-547-654-469-STANDARD
45,25,0.2,A7,350gsm Art Board Silk Finish,None,Double Sided,,14.25,3,FLY-555-651-469-510-STANDARD
46,25,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,20.76,3,FLY-514-561-525-612-STANDARD
47,25,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-696-612-513-616-STANDARD
48,25,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,15.96,4,FLY-605-653-555-522-STANDARD
49,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,,19.85,3,FLY-645-614-556-656-STANDARD
50,25,0.0,A6,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-616-510-520-657-STANDARD
