SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-0079695ee8,Foam Signs,5,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,9 Sets,20,1034.97,None
R1-008387b425,Foam Signs,30,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,401.89,None
R1-0086ec4b02,Foam Signs,7,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,569.81,None
R1-0087c3d9d7,Foam Signs,3,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,10 Sets,20,359.06,None
R1-008bf742e5,Foam Signs,30,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,639.32,None
R1-008cedca61,Foam Signs,8,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,155.83,None
R1-008f020062,Foam Signs,1,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,246.79,None
R1-00938e0097,Foam Signs,4,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,12 Sets,20,499.67,None
R1-00a09efb63,Foam Signs,4,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,1382.34,None
R1-00a11bac5e,Foam Signs,50,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,8 Sets,20,3040.18,None
R1-00a4ba6a5e,Foam Signs,20,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,4 Sets,20,644.65,None
R1-00a51a03a5,Foam Signs,2,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,201.48,None
R1-00a85de3f7,Foam Signs,6,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,2197.75,None
R1-00aeeba16e,Foam Signs,35,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,2487.56,None
R1-00afe3a020,Foam Signs,4,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,9 Sets,20,305.38,None
R1-00bac8a439,Foam Signs,20,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,525.26,None
R1-00c798d33a,Foam Signs,30,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,10 Sets,20,817.21,None
R1-00cc34423b,Foam Signs,1,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,2 Sets,20,46.4,None
R1-00d4608643,Foam Signs,3,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,542.67,None
R1-00d58e183a,Foam Signs,6,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,269.49,None
R1-00df1696ce,Foam Signs,5,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,292.74,None
