SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-0640fb5ba8,Magnetic Signs,8,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,286.77,None
R1-0681aaf731,Magnetic Signs,10,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,1324.31,None
R1-06b50aed17,Magnetic Signs,4,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,774.30,None
R1-071b93969a,Magnetic Signs,50,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,11146.96,None
R1-073bae78cb,Magnetic Signs,1,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,567.76,None
R1-075992f291,Magnetic Signs,4,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,554.28,None
R1-075b52dc22,Magnetic Signs,2,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,413.40,None
R1-0763c0c060,Magnetic Signs,6,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,797.72,None
R1-07892f4020,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,232.32,None
R1-08101b197d,Magnetic Signs,1,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,339.30,None
R1-085eab2d2d,Magnetic Signs,2,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,396.15,None
R1-086d843752,Magnetic Signs,6,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,1380.22,None
R1-08ee5a0210,Magnetic Signs,10,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,81.40,None
R1-08fe4463d3,Magnetic Signs,1,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,569.80,None
R1-09090391ce,Magnetic Signs,3,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,666.65,None
R1-090e4fd292,Magnetic Signs,7,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,156.00,None
R1-091e37dd66,Magnetic Signs,7,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,348.10,None
R1-0940123fb7,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,587.40,None
R1-09bbfbca6c,Magnetic Signs,8,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,1016.40,None
R1-09e23f77a1,Magnetic Signs,5,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,348.48,None
R1-0a0f30cb6b,Magnetic Signs,6,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,1086.69,None
R1-0a1d977067,Magnetic Signs,8,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,1223.20,None
R1-0a2430ac35,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,719.10,None
R1-0a3e3b1cb7,Magnetic Signs,3,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,528.20,None
R1-0a52744da7,Magnetic Signs,1,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,201.46,None
R1-0a5856ea84,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,1478.62,None
R1-0a5871a26b,Magnetic Signs,2,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,9 Sets,20,340.10,None
R1-0a5dd33400,Magnetic Signs,5,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,417.45,None
R1-0a926acd83,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,140.36,None
R1-0abfa8e806,Magnetic Signs,2,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,568.10,None
R1-0ac7a58e65,Magnetic Signs,1,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,153.45,None
R1-0acfafbc00,Magnetic Signs,4,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,227.70,None
R1-0ad163f5de,Magnetic Signs,8,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,2507.12,None
R1-0b33432bcf,Magnetic Signs,6,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,1359.75,None
R1-0b50f61c39,Magnetic Signs,2,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,249.13,None
R1-0b59006395,Magnetic Signs,3,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,321.09,None
R1-0b79225916,Magnetic Signs,50,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,1501.32,None
R1-0ba8f7582c,Magnetic Signs,10,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,2210.89,None
R1-0bcab2b3bc,Magnetic Signs,7,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,703.28,None
R1-0be2051b7f,Magnetic Signs,7,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,667.95,None
R1-0c264b2f27,Magnetic Signs,2,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,205.40,None
R1-0c75e9c4bb,Magnetic Signs,7,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,667.64,None
R1-0c81702a5b,Magnetic Signs,3,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,581.02,None
R1-0cdcf89156,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,1380.39,None
R1-0d09e33780,Magnetic Signs,2,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,111.15,None
R1-0d65324647,Magnetic Signs,9,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,1074.15,None
R1-0d65f829ad,Magnetic Signs,3,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,42.00,None
R1-0d874ee94e,Magnetic Signs,9,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,2649.57,None
R1-0dd9720e94,Magnetic Signs,50,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,3476.55,None
R1-0deec8d206,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,987.47,None
R1-0dfa14ab1a,Magnetic Signs,7,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,1031.91,None
R1-0e0cd10486,Magnetic Signs,8,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,1399.20,None
R1-0e2eeaf7d8,Magnetic Signs,9,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,784.08,None
R1-0e4513f611,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,897.70,None
R1-0e85964390,Magnetic Signs,10,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,797.90,None
R1-0ed072e650,Magnetic Signs,3,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,76.00,None
R1-0f8fb5bd07,Magnetic Signs,50,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,446.55,None
R1-0fd9825e2e,Magnetic Signs,8,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,1292.28,None
R1-0fff261edb,Magnetic Signs,1,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,339.45,None
R1-100f12a767,Magnetic Signs,10,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,1091.15,None
R1-10232c5d9e,Magnetic Signs,6,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,1611.22,None
R1-10232ea4d9,Magnetic Signs,10,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,2236.46,None
R1-1032cb0d51,Magnetic Signs,50,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,3010.20,None
R1-104025f4e4,Magnetic Signs,1,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,173.80,None
R1-1060dbccdf,Magnetic Signs,7,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,592.50,None
R1-1079f082aa,Magnetic Signs,7,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,423.95,None
R1-10dec258a5,Magnetic Signs,1,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,428.23,None
R1-11235f55aa,Magnetic Signs,5,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,755.70,None
R1-1126c5d317,Magnetic Signs,9,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,2854.17,None
R1-113e43ef46,Magnetic Signs,8,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,1048.96,None
R1-11422e8250,Magnetic Signs,5,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,782.60,None
R1-114880cc88,Magnetic Signs,4,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,669.90,None
R1-11e4da5763,Magnetic Signs,3,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,736.56,None
R1-11f0930c0f,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,503.80,None
R1-11fb1fd89d,Magnetic Signs,7,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,584.10,None
R1-12549c23b5,Magnetic Signs,9,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,398.09,None
R1-126af93515,Magnetic Signs,9,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,158.40,None
R1-12761459ee,Magnetic Signs,1,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,134.70,None
R1-128857d58e,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,508.20,None
R1-1335e8fd9b,Magnetic Signs,7,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,265.04,None
R1-133a85595f,Magnetic Signs,50,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,2758.30,None
R1-13924adf28,Magnetic Signs,5,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,762.45,None
R1-13993f2343,Magnetic Signs,5,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,446.00,None
R1-139b80485b,Magnetic Signs,1,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,118.00,None
R1-13f9676a9f,Magnetic Signs,3,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,259.20,None
R1-143eb6d6a7,Magnetic Signs,7,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,589.60,None
R1-149ecf0630,Magnetic Signs,3,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,585.92,None
R1-150bec2654,Magnetic Signs,9,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,280.80,None
R1-151c3cca9a,Magnetic Signs,4,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,4 Sets,20,245.63,None
R1-1572283ad4,Magnetic Signs,50,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,4018.35,None
R1-157fc000ec,Magnetic Signs,2,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,11 Sets,20,462.00,None
