SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-0ae2af988a,Display Board,5,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,96.57,None
R1-0af3cfd152,Display Board,10,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,658.84,None
R1-0b0fa71f18,Display Board,50,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,1850.56,None
R1-0b7e74b4e5,Display Board,2,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,403.59,None
R1-0bb95cd3b5,Display Board,50,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,911.92,None
R1-0bfbaab7af,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,461.09,None
R1-0c552e1f23,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,229.10,None
R1-0c5e3292a5,Display Board,50,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,1400.76,None
R1-0c62291276,Display Board,9,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,122.53,None
R1-0cdbc97cba,Display Board,40,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,534.92,None
R1-0cf4415f77,Display Board,10,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,546.23,None
R1-0cff7a14ab,Display Board,1,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,24.98,None
R1-0d18963d6b,Display Board,20,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,2561.79,None
R1-0d32ebbb00,Display Board,10,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,74.77,None
R1-0d5562e419,Display Board,2,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,153.53,None
R1-0e132a530b,Display Board,50,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,842.06,None
R1-0e326a0588,Display Board,9,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,323.22,None
R1-0ed96afb20,Display Board,40,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,353.59,None
R1-0ee489ea22,Display Board,7,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,306.31,None
R1-0ee8069cef,Display Board,7,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,382.38,None
R1-0f26bb761d,Display Board,25,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,1159.83,None
R1-0f7219ab2c,Display Board,10,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,1454.67,None
R1-0f919be972,Display Board,15,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,1618.43,None
R1-104ed623a7,Display Board,20,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,442.65,None
R1-110d4d24d8,Display Board,40,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,716.25,None
R1-11b632f709,Display Board,30,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,832.60,None
R1-1207a52784,Display Board,25,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,858.67,None
R1-1212722ce3,Display Board,1,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,63.17,None
R1-123b9d5832,Display Board,25,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,152.91,None
R1-1282ec7c34,Display Board,3,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,495.48,None
R1-128dafb741,Display Board,25,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,250.03,None
R1-12a2db6927,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,287.09,None
R1-12c86389f1,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,403.09,None
R1-12d87b7bb4,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,519.09,None
R1-130a320f4d,Display Board,25,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,326.60,None
R1-13b43373ae,Display Board,5,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,423.98,None
R1-13e822d34b,Display Board,50,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,2315.13,None
R1-141551016d,Display Board,4,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,308.29,None
R1-141f1f4c58,Display Board,30,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,454.88,None
